id_microrregiao,ano,total_valor_producao,avg_precipitacao_jan,avg_precipitacao_feb,avg_precipitacao_mar,avg_precipitacao_apr,avg_precipitacao_may,avg_precipitacao_jun,avg_precipitacao_jul,avg_precipitacao_aug,avg_precipitacao_sep,avg_precipitacao_oct,avg_precipitacao_nov,avg_precipitacao_dec,avg_pressao_jan,avg_pressao_feb,avg_pressao_dec,treatment
26006,2014,24603.0,0.001344086021505376,0.1017857142857143,,0.090277777777777762,0.034139784946236582,0.007747489239598282,0.044077134986225917,0.015860215053763428,0.0025000000000000027,0.0029569892473118291,0.07205673758865247,0.033243243243243216,974.88037634408636,974.02470238095225,974.92378378378419,0
26006,2015,23899.0,0.001641586867305062,0.092727272727272686,0.049193548387096712,0.030000000000000016,0.011559139784946245,0.011388888888888907,0.019354838709677444,0.0040322580645161289,0.0,0.0,0.00027777777777777783,0.06505376344086021,975.58673050615664,974.878063540092,975.52983870967773,0
26006,2016,23265.0,0.21935483870967754,0.03649425287356324,0.052956989247311889,0.00058997050147492646,0.062168674698795168,0.05444444444444442,0.00833333333333334,0.0,0.0,0.0,0.0,0.013440860215053772,974.97002688171972,975.57916666666642,973.89126344086094,0
26006,2017,19906.0,0.0010752688172043013,0.040476190476190485,0.22876344086021511,0.098055555555555438,0.032795698924731186,0.075555555555555542,0.034946236559139789,0.0,,0.010215053763440859,0.00388888888888889,0.074462365591397836,974.45456989247373,974.07931547619069,973.57553763440865,0
26006,2018,22299.0,0.011559139784946257,0.12976190476190463,0.18010752688172044,0.18722222222222235,0.0051075268817204322,0.009999999999999995,0.0099462365591397612,0.00080645161290322591,0.0,0.01881720430107529,0.040555555555555567,0.1868279569892472,974.24704301075269,973.711458333334,975.34153225806483,0
26006,2019,34961.0,0.00053763440860215086,0.1248882265275708,0.19354838709677408,0.146583850931677,0.0086142322097378255,0.020000000000000011,0.070967741935483955,0.0086021505376344155,0.0,0.0,0.03388888888888892,0.0043010752688172069,975.86034946236623,974.4345752608059,973.85793010752741,0
26006,2020,34068.0,0.11801075268817193,0.26120689655172408,0.084946236559139784,0.02916666666666666,0.043010752688172046,0.025277777777777767,0.022311827956989261,0.00456989247311828,0.0041666666666666666,0.00080645161290322559,0.072222222222222285,0.0,974.39112903225907,974.86810344827575,974.43776881720373,0
26006,2021,32625.0,0.0016129032258064518,0.021428571428571432,0.010752688172043013,,0.023118279569892482,0.0072222222222222193,0.010483870967741941,0.0040322580645161281,0.0026666666666666661,,,,974.100806451613,973.65238095238078,,0
26006,2022,98954.0,,,,,,,,0.027906976744186043,0.0,0.066935483870967732,0.1166666666666666,0.21586021505376346,,,974.0272849462358,0
26008,2007,47049.0,,,,,,,,,,,0.0,0.041500000000000009,,,947.76324999999986,0
26008,2008,47189.0,0.076255707762557023,0.066406249999999972,0.1505376344086021,0.17194444444444437,0.10740242261103634,0.082845188284518867,0.0991935483870967,0.078494623655913892,0.014722222222222234,0.0048387096774193594,0.00027777777777777794,0.018279569892473108,947.382876712329,948.2386718749998,947.54717741935463,1
26008,2009,40729.0,0.079569892473118339,0.12797619047619047,0.056989247311828,0.095833333333333312,0.1873655913978492,0.092777777777777681,0.19112903225806444,0.1387096774193548,0.0091666666666666754,0.0024930747922437689,0.017500000000000009,0.073655913978494636,948.265322580645,947.66264880952281,948.50376344086055,0
26008,2010,41011.0,0.0887989203778677,0.094047619047619033,0.0846774193548387,0.15750000000000008,0.014247311827956972,0.41666666666666652,0.08118279569892474,0.044081632653061205,0.052294853963838671,0.021505376344086009,0.00027777777777777794,0.025268817204301072,948.63211875843513,948.23779761904859,946.46760752688147,0
26008,2011,65343.0,0.23387096774193539,0.087425149700598767,0.098503401360544224,0.19500000000000009,0.22930107526881716,0.0738056013179572,0.052121212121212124,,0.036551724137931008,0.0043010752688172052,0.0013888888888888907,0.0024193548387096775,946.85873655913963,947.48982035928213,948.37943548387045,0
26008,2012,46410.0,0.0026881720430107568,0.002873563218390805,0.0013440860215053782,0.00055555555555555577,0.0018817204301075283,0.0033333333333333361,0.0016129032258064523,0.001889338731443996,0.00027777777777777789,0.0,0.0,0.0034993270524899056,948.66129032258073,948.2816091954021,947.98815612382271,0
26008,2013,49273.0,0.02177419354838709,0.0053571428571428615,0.10879120879120881,0.32617702448210895,0.036290322580645143,0.13927576601671321,0.2370967741935486,0.055376344086021545,0.0298050139275766,0.029838709677419369,0.064444444444444471,0.017473118279569908,948.81169354838812,948.29999999999893,948.34919354838757,0
26008,2014,42465.0,0.022043010752688184,0.062499999999999993,0.032526881720430119,0.12749999999999997,0.082673942701227826,0.0,0.098678414096916231,0.045698924731182776,0.0488888888888889,0.045698924731182776,0.013055555555555555,0.0034946236559139773,949.10188172043047,948.12470238095193,949.54973118279554,0
26008,2015,40082.0,0.0064602960969044375,0.00982142857142857,0.062365591397849425,0.024444444444444446,0.046505376344086004,0.14944444444444457,0.12795698924731186,0.040591397849462384,0.013888888888888885,0.0053763440860215041,0.00277777777777778,0.066129032258064449,950.19609690444133,949.338690476191,950.28709677419408,0
26008,2016,29701.0,0.097311827956989269,0.050574712643678132,0.096774193548387,0.068888888888888916,0.080376344086021526,0.073611111111111086,0.030913978494623667,0.028225806451612909,0.014166666666666664,0.0056527590847913842,0.0030555555555555561,0.0045698924731182745,949.27217741935488,949.67744252873615,948.6821236559141,0
26008,2017,43300.0,0.0013440860215053756,0.017559523809523813,0.0045698924731182814,0.056666666666666657,0.028225806451612902,,,,,,,0.0037634408602150618,948.94126344086033,948.52261904761872,948.48521505376368,0
26008,2018,38154.0,0.00026881720430107554,,0.019639934533551548,,,0.018181818181818184,0.17559322033898297,0.062903225806451607,0.040277777777777794,0.0010752688172043015,0.021388888888888912,0.063172043010752771,948.7477150537627,948.0523809523803,920.502956989247,0
26008,2019,29148.0,0.052419354838709659,0.1672619047619047,0.206989247311828,0.14111111111111116,0.081720430107526845,,,0.0045698924731182805,0.0011111111111111111,0.0010752688172043022,0.0044444444444444444,0.014516129032258067,921.02768817204378,919.91309523809434,919.62365591397861,0
26008,2020,68312.0,0.016129032258064523,0.021839080459770108,0.21075268817204298,0.24000000000000016,0.11048387096774193,0.20277777777777778,0.01908602150537635,0.014247311827957,0.012222222222222214,0.027688172043010734,0.01638888888888889,0.037365591397849438,919.959811827957,920.08089080459752,920.01008064516077,0
26008,2021,52844.0,0.020770519262981582,,,,,,,,,,,,919.4577889447238,,,0
26008,2022,88294.0,,,,,0.0,0.32770370370370389,0.493279569892473,0.27258064516129027,0.062499999999999993,0.013654618473895586,,,,,,0
26009,2008,4666.0,,,0.28949275362318849,0.0831932773109244,0.15370121130551834,0.0912133891213388,0.12543741588156121,0.10725806451612895,0.027222222222222245,0.011021505376344089,0.00027777777777777783,0.0029569892473118291,,,964.10766129032322,0
