ano,id_microrregiao,sigla_uf,primeiro_ano_tratamento,tratado,pos_tratamento,area_plantada_arroz,area_plantada_cana,area_plantada_outras,area_plantada_soja,valor_producao_arroz,valor_producao_cana,valor_producao_outras,valor_producao_soja,valor_producao_nominal_arroz,valor_producao_nominal_cana,valor_producao_nominal_outras,valor_producao_nominal_soja,area_total_km2,populacao_total,pib_total,pib_per_capita,pib_agropecuario,precip_total_anual_mm,precip_media_mensal_mm,precip_max_mensal_mm
2005,43006,RS,0,0,0,0.0,0.0,102.47805117779544,1001.1528920364449,136.64,5934.33,109317.15,9836.92,107.0,4647.0,85603.0,7703.0,2252.14756769141,66792,501004000,7500.96,96339000,606.172800064087,4.592218182303689,9.55925565777403
2006,43006,RS,0,0,0,0.0,0.0,103.02846834735035,1005.2429630359142,214.09,8444.33,108071.21,43551.76,169.0,6666.0,85312.0,34380.0,2252.1475676914297,66222,573898000,8666.27,125378000,605.4393450419107,4.586661704862961,8.117502385919744
2007,43006,RS,0,0,0,0.0,0.0,80.25734154254104,1031.9482372060802,191.94,11079.62,127734.76,92251.41,160.0,9236.0,106480.0,76901.0,2252.1475676914306,66422,766144000,11534.49,200239000,706.5378030141195,5.352559113743331,8.538116108287465
2008,43006,RS,0,0,0,0.0,0.0,78.9216236777952,1039.9353411577963,188.85,8486.57,124153.55,71400.5,179.0,8044.0,117679.0,67677.0,2252.147567691425,67893,868494000,12792.1,208679000,583.6684703826905,4.421730836232504,8.57525160818389
2009,43006,RS,0,0,0,0.0,0.0,81.33763807598831,1044.6720341947853,191.36,5809.39,83942.83,75406.88,181.0,5495.0,79400.0,71326.0,2252.1475676914274,67618,914812000,13529.12,192323000,673.255443572998,5.100420027068167,10.534806685014205
2010,43006,RS,0,0,0,0.0,0.0,65.38790221636953,1066.2936510619704,15.0,9293.0,130868.0,98080.0,15.0,9293.0,130868.0,98080.0,2252.1475676914283,66065,1099453000,16641.99,243763000,605.8394114176433,4.589692510739723,8.600523977568658
2011,43006,RS,0,0,0,0.0,0.0,70.73403215722651,1058.8807212264107,7.31,7704.33,163246.46,117186.77,8.0,8432.0,178665.0,128255.0,2252.147567691443,65765,1213146000,18446.68,286088000,602.3794809977214,4.563480916649404,7.707646398833304
2012,43006,RS,0,0,0,0.0,0.0,55.83029035211176,1069.5626897195054,1.73,2374.7,116591.79,31841.06,2.0,2752.0,135116.0,36900.0,2252.1475676914324,65480,1250678000,19100.15,199216000,484.31245485941594,3.669033748934966,10.394276994647404
2013,43006,RS,0,0,0,0.0,0.0,136.5241481259767,984.7748686551536,164.55,6009.47,165268.05,123433.14,202.0,7377.0,202877.0,151522.0,2252.1475676914115,67604,1664854000,24626.56,407982000,637.8842989603677,4.832456810305818,7.475535074869794
2014,43006,RS,0,0,0,0.0,0.0,88.49473256292715,1029.6232538603183,130.84,6052.33,99494.6,142885.05,168.0,7771.0,127748.0,183460.0,2252.147567691434,67463,1664273000,24669.42,387671000,917.3595905303956,6.949693867654511,12.360572814941401
2015,43006,RS,0,0,0,0.0,0.0,65.53817282281484,1056.1751930403636,189.54,4446.15,99005.5,134171.4,258.0,6052.0,134764.0,182631.0,2252.147567691428,67331,2207481000,32785.51,400750000,845.202684402466,6.403050639412621,14.562375617749764
2016,43006,RS,0,0,0,0.0,0.0,49.145079817871135,1074.6571108550968,81.08,3517.46,120803.98,177102.49,123.0,5336.0,183260.0,268665.0,2252.1475676914033,67208,2494405000,37114.7,543911000,658.9544614156089,4.992079253148552,10.563489162560671
2017,43006,RS,0,0,0,0.0,0.0,44.361310840881224,1081.6262228110436,118.88,3598.83,86235.68,159480.0,179.0,5419.0,129851.0,240140.0,2252.1475676914183,67089,2651385000,39520.41,488369000,757.7966849009196,5.740883976522117,11.942213231867
2018,43006,RS,0,0,0,0.0,0.0,28.32885025598141,1100.2204723529762,109.93,3298.99,91217.3,184205.2,177.0,5312.0,146877.0,296605.0,2252.147567691418,64493,2916276000,45218.49,538939000,575.9499867757163,4.363257475573606,9.397824605305987
2019,43006,RS,0,0,0,0.0,0.0,25.902605351440386,1112.9311173415067,68.42,2916.49,96320.78,150278.79,118.0,5030.0,166122.0,259182.0,2252.1475676914265,64171,2918955000,45487.14,530997000,646.2642351786296,4.895941175595677,10.825894095680917
2020,43006,RS,0,0,0,0.0,0.0,32.212511308471676,1144.4044612282871,127.93,2397.7,78198.98,97004.15,260.0,4873.0,158929.0,197148.0,2252.1475676914306,63845,2400582000,37600.16,554341000,485.2248032887778,3.6759454794604376,8.28433759284742
2021,43006,RS,0,0,0,0.0,0.0,38.44378415765373,1278.0641342156184,185.31,2365.09,81541.91,219245.65,510.0,6509.0,224413.0,603390.0,2252.147567691454,63537,3046206000,47943.81,976409000,422.1684932708741,3.1982461611429867,7.014606938217625
2022,43006,RS,0,0,0,0.0,0.0,0.0,0.0,133.75,830.37,98514.47,22750.3,408.0,2533.0,300515.0,69399.0,0.0,63654,,,,524.3148803710938,3.9720824270537403,8.71395342277758
2023,43006,RS,0,0,0,0.0,0.0,0.0,0.0,180.98,907.36,59775.0,45396.2,516.0,2587.0,170427.0,129431.0,0.0,,,,,758.6660385131836,5.747469988736238,13.822685588489863
2003,43007,RS,2007,1,0,12.319970882018962,0.0,211.60925506774882,4542.9703000374275,19157.54,4227.61,281609.12,664627.36,12865.0,2839.0,189111.0,446322.0,10757.507221410771,208067,2006879000,9645.35,584362000,994.0133094787599,5.177152653535207,12.555882334709175
2004,43007,RS,2007,1,0,39.53849110656733,0.0,136.29397829931608,4674.686311398231,23973.41,3916.25,206671.76,273355.94,17783.0,2905.0,153305.0,202770.0,10757.507221410835,207572,1784945000,8599.16,354369000,698.7301111221315,3.6392193287611017,6.573100884755453
2005,43007,RS,2007,1,0,65.00088173761071,0.0,108.56033482495089,4725.803398080618,15564.38,2771.14,201760.97,89746.74,12188.0,2170.0,157993.0,70278.0,10757.507221410713,207297,1610869000,7770.83,210615000,886.7461284001668,4.618469418750868,9.185443321863811
2006,43007,RS,2007,1,0,39.96405806402548,0.0,88.17776495880167,4822.927638556817,11284.44,7831.21,182296.69,262324.01,8908.0,6182.0,143906.0,207080.0,10757.507221410624,207024,1838872000,8882.41,313993000,885.4486942291257,4.611711949110032,7.888868451118469
2007,43007,RS,2007,1,1,53.335906774048034,0.0,75.36656575909403,4859.143619851655,12206.06,10308.27,292550.74,562863.06,10175.0,8593.0,243871.0,469204.0,10757.507221410655,197549,2348238000,11886.86,594385000,1037.9215478897092,5.405841395258904,8.606120944023132
